Genetic Feature,Recurrent Gain Loss,Genes in Segment
cnaPANCAN75,loss,CTSC
cnaPANCAN75,loss,CWC15
cnaPANCAN75,loss,EED
cnaPANCAN75,loss,ENDOD1
cnaPANCAN75,loss,FAM76B
cnaPANCAN75,loss,FAT3
cnaPANCAN75,loss,FOLR4
cnaPANCAN75,loss,FUT4
cnaPANCAN75,loss,FZD4
cnaPANCAN75,loss,GPR83
cnaPANCAN75,loss,GRM5
cnaPANCAN75,loss,HEPHL1
cnaPANCAN75,loss,JRKL
cnaPANCAN75,loss,KDM4D
cnaPANCAN75,loss,KDM4E
cnaPANCAN75,loss,KIAA1731
cnaPANCAN75,loss,MAML2
cnaPANCAN75,loss,ME3
cnaPANCAN75,loss,MED17
cnaPANCAN75,loss,MRE11A
cnaPANCAN75,loss,MTMR2
cnaPANCAN75,loss,MTNR1B
cnaPANCAN75,loss,NAALAD2
cnaPANCAN75,loss,NOX4
cnaPANCAN75,loss,PANX1
cnaPANCAN75,loss,PICALM
cnaPANCAN75,loss,PIWIL4
cnaPANCAN75,loss,PRSS23
cnaPANCAN75,loss,RAB38
cnaPANCAN75,loss,SESN3
cnaPANCAN75,loss,SLC36A4
cnaPANCAN75,loss,SMCO4
cnaPANCAN75,loss,SYTL2
cnaPANCAN75,loss,TAF1D
cnaPANCAN75,loss,TMEM135
cnaPANCAN75,loss,TRIM49
cnaPANCAN75,loss,TRIM49C
cnaPANCAN75,loss,TRIM49D1
cnaPANCAN75,loss,TRIM64B
cnaPANCAN75,loss,TRIM77
cnaPANCAN75,loss,TYR
cnaPANCAN75,loss,VSTM5
cnaPANCAN76,loss,CNTN5
cnaPANCAN77,loss,CARD16
cnaPANCAN77,loss,CASP1
cnaPANCAN78,loss,CARD16
cnaPANCAN78,loss,CASP1
cnaPANCAN79,loss,GUCY1A2
cnaPANCAN80,loss,ALG9
cnaPANCAN80,loss,ALG9
cnaPANCAN80,loss,ANKK1
cnaPANCAN80,loss,AP002884.3
cnaPANCAN80,loss,ARHGAP20
cnaPANCAN80,loss,BCO2
cnaPANCAN80,loss,BTG4
cnaPANCAN80,loss,C11orf1
cnaPANCAN80,loss,C11orf52
cnaPANCAN80,loss,C11orf53
cnaPANCAN80,loss,C11orf57
cnaPANCAN80,loss,C11orf88
cnaPANCAN80,loss,CLDN25
cnaPANCAN80,loss,COLCA1
cnaPANCAN80,loss,COLCA2
cnaPANCAN80,loss,CRYAB
cnaPANCAN80,loss,DIXDC1
cnaPANCAN80,loss,DLAT
cnaPANCAN80,loss,DRD2
cnaPANCAN80,loss,FDX1
cnaPANCAN80,loss,FDXACB1
cnaPANCAN80,loss,HSPB2
cnaPANCAN80,loss,HSPB2-C11orf52
cnaPANCAN80,loss,HTR3A
cnaPANCAN80,loss,HTR3B
cnaPANCAN80,loss,IL18
cnaPANCAN80,loss,LAYN
cnaPANCAN80,loss,NCAM1
cnaPANCAN80,loss,PIH1D2
cnaPANCAN80,loss,PLET1
cnaPANCAN80,loss,POU2AF1
cnaPANCAN80,loss,PPP2R1B
cnaPANCAN80,loss,PTS
cnaPANCAN80,loss,RDX
cnaPANCAN80,loss,RP11-794P6.2
cnaPANCAN80,loss,SDHD
cnaPANCAN80,loss,SDHD
cnaPANCAN80,loss,SIK2
cnaPANCAN80,loss,TEX12
cnaPANCAN80,loss,TIMM8B
cnaPANCAN80,loss,TMPRSS5
cnaPANCAN80,loss,TTC12
cnaPANCAN80,loss,USP28
cnaPANCAN80,loss,ZBTB16
cnaPANCAN80,loss,ZC3H12C
cnaPANCAN80,loss,ZW10
cnaPANCAN81,loss,ROBO3
cnaPANCAN82,loss,SLC37A2
cnaPANCAN83,gain,BLK
cnaPANCAN83,gain,C8orf12
cnaPANCAN83,gain,C8orf49
cnaPANCAN83,gain,CTSB
cnaPANCAN83,gain,DEFB130
cnaPANCAN83,gain,DEFB134
cnaPANCAN83,gain,DEFB135
cnaPANCAN83,gain,DEFB136
cnaPANCAN83,gain,FAM167A
cnaPANCAN83,gain,FAM86B1
cnaPANCAN83,gain,FDFT1
cnaPANCAN83,gain,GATA4
cnaPANCAN83,gain,NEIL2
cnaPANCAN83,gain,RP11-297N6.4
cnaPANCAN83,gain,RP11-481A20.11
cnaPANCAN83,gain,USP17L2
cnaPANCAN83,gain,ZNF705D
cnaPANCAN84,gain,ADAM18
cnaPANCAN84,gain,ADAM2
cnaPANCAN84,gain,ADAM32
cnaPANCAN84,gain,ADAM9
cnaPANCAN84,gain,ADRB3
cnaPANCAN84,gain,AGPAT6
cnaPANCAN84,gain,ANK1
cnaPANCAN84,gain,AP3M2
cnaPANCAN84,gain,ASH2L
cnaPANCAN84,gain,BAG4
cnaPANCAN84,gain,BRF2
cnaPANCAN84,gain,C8orf4
cnaPANCAN84,gain,C8orf86
cnaPANCAN84,gain,CHRNA6
cnaPANCAN84,gain,CHRNB3
cnaPANCAN84,gain,DDHD2
cnaPANCAN84,gain,DKK4
cnaPANCAN84,gain,EIF4EBP1
cnaPANCAN84,gain,ERLIN2
cnaPANCAN84,gain,FGFR1
cnaPANCAN84,gain,FNTA
cnaPANCAN84,gain,GINS4
cnaPANCAN84,gain,GOLGA7
cnaPANCAN84,gain,GOT1L1
cnaPANCAN84,gain,GPR124
cnaPANCAN84,gain,HOOK3
cnaPANCAN84,gain,HTRA4
cnaPANCAN84,gain,IDO1
cnaPANCAN84,gain,IDO2
cnaPANCAN84,gain,IKBKB
cnaPANCAN84,gain,KAT6A
cnaPANCAN84,gain,KCNU1
cnaPANCAN84,gain,LETM2
cnaPANCAN84,gain,LSM1
cnaPANCAN84,gain,NKX6-3
cnaPANCAN84,gain,PLAT
cnaPANCAN84,gain,PLEKHA2
cnaPANCAN84,gain,POLB
cnaPANCAN84,gain,PPAPDC1B
cnaPANCAN84,gain,PROSC
cnaPANCAN84,gain,RAB11FIP1
cnaPANCAN84,gain,RNF170
cnaPANCAN84,gain,RP11-598P20.5
cnaPANCAN84,gain,RP11-863K10.7
cnaPANCAN84,gain,SFRP1
cnaPANCAN84,gain,SLC20A2
cnaPANCAN84,gain,SMIM19
cnaPANCAN84,gain,STAR
cnaPANCAN84,gain,TACC1
cnaPANCAN84,gain,THAP1
cnaPANCAN84,gain,TM2D2
cnaPANCAN84,gain,UNC5D
cnaPANCAN84,gain,VDAC3
cnaPANCAN84,gain,WHSC1L1
cnaPANCAN84,gain,ZMAT4
cnaPANCAN84,gain,ZNF703
cnaPANCAN85,gain,MRPL15
cnaPANCAN85,gain,RP1
cnaPANCAN85,gain,RP11-386G21.1
cnaPANCAN85,gain,RP11-386G21.2
cnaPANCAN85,gain,SOX17
cnaPANCAN85,gain,XKR4
cnaPANCAN86,gain,CHMP4C
cnaPANCAN86,gain,FABP12
cnaPANCAN86,gain,FABP4
cnaPANCAN86,gain,FABP5
cnaPANCAN86,gain,FABP9
cnaPANCAN86,gain,HEY1
cnaPANCAN86,gain,IL7
cnaPANCAN86,gain,IMPA1
cnaPANCAN86,gain,MRPS28
cnaPANCAN86,gain,PAG1
cnaPANCAN86,gain,PKIA
cnaPANCAN86,gain,PMP2
cnaPANCAN86,gain,SLC10A5
cnaPANCAN86,gain,SNX16
cnaPANCAN86,gain,STMN2
cnaPANCAN86,gain,TPD52
cnaPANCAN86,gain,ZBTB10
cnaPANCAN86,gain,ZC2HC1A
cnaPANCAN86,gain,ZFAND1
cnaPANCAN86,gain,ZNF704
cnaPANCAN87,gain,FSBP
cnaPANCAN87,gain,GEM
cnaPANCAN87,gain,KIAA1429
cnaPANCAN87,gain,RAD54B
cnaPANCAN88,gain,ANKRD46
cnaPANCAN88,gain,AZIN1
cnaPANCAN88,gain,GRHL2
cnaPANCAN88,gain,KB-1507C5.2
cnaPANCAN88,gain,KB-1980E6.3
cnaPANCAN88,gain,KLF10
cnaPANCAN88,gain,NCALD
cnaPANCAN88,gain,ODF1
cnaPANCAN88,gain,PABPC1
cnaPANCAN88,gain,RNF19A
cnaPANCAN88,gain,RRM2B
cnaPANCAN88,gain,SNX31
cnaPANCAN88,gain,SPAG1
cnaPANCAN88,gain,UBR5
cnaPANCAN88,gain,YWHAZ
cnaPANCAN88,gain,ZNF706
cnaPANCAN89,gain,AARD
cnaPANCAN89,gain,EIF3H
cnaPANCAN89,gain,RAD21
cnaPANCAN89,gain,SLC30A8
cnaPANCAN89,gain,TRPS1
cnaPANCAN89,gain,UTP23
cnaPANCAN90,gain,FER1L6
cnaPANCAN90,gain,TMEM65
cnaPANCAN91,gain,MYC
cnaPANCAN91,gain,POU5F1B
cnaPANCAN92,loss,AGPAT5
cnaPANCAN92,loss,ANGPT2
cnaPANCAN92,loss,ARHGEF10
cnaPANCAN92,loss,CLN8
cnaPANCAN92,loss,CSMD1
cnaPANCAN92,loss,DEFA1
cnaPANCAN92,loss,DEFA1B
cnaPANCAN92,loss,DEFA3
cnaPANCAN92,loss,DEFA4
cnaPANCAN92,loss,DEFA5
cnaPANCAN92,loss,DEFA6
cnaPANCAN92,loss,DEFB1
cnaPANCAN92,loss,DEFB103B
cnaPANCAN92,loss,DEFB104B
cnaPANCAN92,loss,DEFB105B
cnaPANCAN92,loss,DEFB106B
cnaPANCAN92,loss,DEFB107B
cnaPANCAN92,loss,DEFB4B
cnaPANCAN92,loss,DLGAP2
cnaPANCAN92,loss,ERICH1
cnaPANCAN92,loss,KBTBD11
cnaPANCAN92,loss,MCPH1
cnaPANCAN92,loss,MYOM2
cnaPANCAN92,loss,PRR23D1
cnaPANCAN92,loss,SPAG11B
cnaPANCAN92,loss,ZNF705G
cnaPANCAN93,loss,PRSS55
cnaPANCAN94,loss,C8orf74
cnaPANCAN94,loss,RP1L1
cnaPANCAN95,loss,MTMR9
cnaPANCAN96,loss,C8orf49
cnaPANCAN96,loss,GATA4
cnaPANCAN97,loss,CCAR2
cnaPANCAN98,loss,FBXO16
cnaPANCAN98,loss,ZNF395
cnaPANCAN99,loss,ATP6V1H
cnaPANCAN99,loss,C8orf22
cnaPANCAN99,loss,CA8
cnaPANCAN99,loss,CEBPD
cnaPANCAN99,loss,CHCHD7
cnaPANCAN99,loss,CYP7A1
cnaPANCAN99,loss,EFCAB1
cnaPANCAN99,loss,FAM110B
cnaPANCAN99,loss,FAM150A
cnaPANCAN99,loss,IMPAD1
cnaPANCAN99,loss,LYN
cnaPANCAN99,loss,LYPLA1
cnaPANCAN99,loss,MCM4
cnaPANCAN99,loss,MOS
cnaPANCAN99,loss,MRPL15
cnaPANCAN99,loss,NPBWR1
cnaPANCAN99,loss,NSMAF
cnaPANCAN99,loss,OPRK1
cnaPANCAN99,loss,PCMTD1
cnaPANCAN99,loss,PENK
cnaPANCAN99,loss,PLAG1
cnaPANCAN99,loss,PRKDC
cnaPANCAN99,loss,PXDNL
cnaPANCAN99,loss,RB1CC1
cnaPANCAN99,loss,RGS20
cnaPANCAN99,loss,RP1
cnaPANCAN99,loss,RP11-386G21.1
cnaPANCAN99,loss,RP11-386G21.2
cnaPANCAN99,loss,RP11-738G5.2
cnaPANCAN99,loss,RPS20
cnaPANCAN99,loss,SDCBP
cnaPANCAN99,loss,SDR16C5
cnaPANCAN99,loss,SNAI2
cnaPANCAN99,loss,SNTG1
cnaPANCAN99,loss,SOX17
cnaPANCAN99,loss,SPIDR
cnaPANCAN99,loss,ST18
cnaPANCAN99,loss,TCEA1
cnaPANCAN99,loss,TGS1
cnaPANCAN99,loss,TMEM68
cnaPANCAN99,loss,TOX
cnaPANCAN99,loss,UBE2V2
cnaPANCAN99,loss,UBXN2B
cnaPANCAN99,loss,XKR4
cnaPANCAN100,loss,JPH1
cnaPANCAN101,loss,SLA
cnaPANCAN101,loss,TG
cnaPANCAN102,loss,FAM135B
cnaPANCAN103,loss,KCNK9
cnaPANCAN104,loss,EEF1D
cnaPANCAN104,loss,PYCRL
cnaPANCAN104,loss,TIGD5
cnaPANCAN105,gain,C16orf13
cnaPANCAN105,gain,CCDC78
cnaPANCAN105,gain,CHTF18
cnaPANCAN105,gain,FAM173A
cnaPANCAN105,gain,FAM195A
cnaPANCAN105,gain,FBXL16
cnaPANCAN105,gain,GNG13
cnaPANCAN105,gain,HAGHL
cnaPANCAN105,gain,JMJD8
cnaPANCAN105,gain,LMF1
cnaPANCAN105,gain,METRN
cnaPANCAN105,gain,MSLN
cnaPANCAN105,gain,MSLNL
cnaPANCAN105,gain,NARFL
cnaPANCAN105,gain,PRR25
cnaPANCAN105,gain,RAB40C
cnaPANCAN105,gain,RHBDL1
cnaPANCAN105,gain,RHOT2
cnaPANCAN105,gain,RPUSD1
cnaPANCAN105,gain,STUB1
cnaPANCAN105,gain,WDR24
cnaPANCAN105,gain,WDR90
cnaPANCAN105,gain,WFIKKN1
cnaPANCAN106,gain,ABAT
cnaPANCAN106,gain,PMM2
cnaPANCAN106,gain,TMEM186
cnaPANCAN107,gain,AC002310.13
cnaPANCAN107,gain,AHSP
cnaPANCAN107,gain,ALDOA
cnaPANCAN107,gain,ARMC5
cnaPANCAN107,gain,ASPHD1
cnaPANCAN107,gain,BCKDK
cnaPANCAN107,gain,BCL7C
cnaPANCAN107,gain,BOLA2B
cnaPANCAN107,gain,C16orf58
cnaPANCAN107,gain,C16orf92
cnaPANCAN107,gain,C16orf93
cnaPANCAN107,gain,C16orf98
cnaPANCAN107,gain,CD2BP2
cnaPANCAN107,gain,CDIPT
cnaPANCAN107,gain,CORO1A
cnaPANCAN107,gain,COX6A2
cnaPANCAN107,gain,CTF1
cnaPANCAN107,gain,DCTPP1
cnaPANCAN107,gain,DOC2A
cnaPANCAN107,gain,FAM57B
cnaPANCAN107,gain,FBRS
cnaPANCAN107,gain,FBXL19
cnaPANCAN107,gain,FUS
cnaPANCAN107,gain,GDPD3
cnaPANCAN107,gain,HIRIP3
cnaPANCAN107,gain,HSD3B7
cnaPANCAN107,gain,INO80E
cnaPANCAN107,gain,ITGAD
cnaPANCAN107,gain,ITGAL
cnaPANCAN107,gain,ITGAM
cnaPANCAN107,gain,ITGAX
cnaPANCAN107,gain,KAT8
cnaPANCAN107,gain,KCTD13
cnaPANCAN107,gain,MAPK3
cnaPANCAN107,gain,MYLPF
cnaPANCAN107,gain,ORAI3
cnaPANCAN107,gain,PHKG2
cnaPANCAN107,gain,PPP4C
cnaPANCAN107,gain,PRR14
cnaPANCAN107,gain,PRSS36
cnaPANCAN107,gain,PRSS53
cnaPANCAN107,gain,PRSS8
cnaPANCAN107,gain,PYCARD
cnaPANCAN107,gain,PYDC1
cnaPANCAN107,gain,RNF40
cnaPANCAN107,gain,RP11-196G11.1
cnaPANCAN107,gain,RP11-347C12.1
cnaPANCAN107,gain,RP11-347C12.3
cnaPANCAN107,gain,SEPHS2
cnaPANCAN107,gain,SEPT1
cnaPANCAN107,gain,SETD1A
cnaPANCAN107,gain,SEZ6L2
cnaPANCAN107,gain,SLC5A2
cnaPANCAN107,gain,SLX1A
cnaPANCAN107,gain,SRCAP
cnaPANCAN107,gain,STX1B
cnaPANCAN107,gain,STX4
cnaPANCAN107,gain,SULT1A3
cnaPANCAN107,gain,TAOK2
cnaPANCAN107,gain,TBC1D10B
cnaPANCAN107,gain,TBX6
cnaPANCAN107,gain,TGFB1I1
cnaPANCAN107,gain,TMEM219
cnaPANCAN107,gain,TRIM72
cnaPANCAN107,gain,VKORC1
cnaPANCAN107,gain,YPEL3
cnaPANCAN107,gain,ZNF48
cnaPANCAN107,gain,ZNF629
cnaPANCAN107,gain,ZNF646
cnaPANCAN107,gain,ZNF668
cnaPANCAN107,gain,ZNF688
cnaPANCAN107,gain,ZNF689
cnaPANCAN107,gain,ZNF720
cnaPANCAN107,gain,ZNF747
cnaPANCAN107,gain,ZNF747
cnaPANCAN107,gain,ZNF764
cnaPANCAN107,gain,ZNF768
cnaPANCAN107,gain,ZNF771
cnaPANCAN107,gain,ZNF785
cnaPANCAN107,gain,ZNF843
cnaPANCAN108,gain,ABCC11
cnaPANCAN108,gain,ABCC12
cnaPANCAN108,gain,ADCY7
cnaPANCAN108,gain,AKTIP
cnaPANCAN108,gain,BRD7
cnaPANCAN108,gain,C16orf78
cnaPANCAN108,gain,C16orf87
cnaPANCAN108,gain,C16orf97
cnaPANCAN108,gain,CBLN1
cnaPANCAN108,gain,CHD9
cnaPANCAN108,gain,CNEP1R1
cnaPANCAN108,gain,CYLD
cnaPANCAN108,gain,DNAJA2
cnaPANCAN108,gain,FTO
cnaPANCAN108,gain,GPT2
cnaPANCAN108,gain,HEATR3
cnaPANCAN108,gain,IRX3
cnaPANCAN108,gain,ITFG1
cnaPANCAN108,gain,LONP2
cnaPANCAN108,gain,MYLK3
cnaPANCAN108,gain,N4BP1
cnaPANCAN108,gain,NETO2
cnaPANCAN108,gain,NKD1
cnaPANCAN108,gain,NOD2
cnaPANCAN108,gain,ORC6
cnaPANCAN108,gain,PAPD5
cnaPANCAN108,gain,PHKB
cnaPANCAN108,gain,RBL2
cnaPANCAN108,gain,RP11-324D17.1
cnaPANCAN108,gain,RPGRIP1L
cnaPANCAN108,gain,SALL1
cnaPANCAN108,gain,SHCBP1
cnaPANCAN108,gain,SIAH1
cnaPANCAN108,gain,SNX20
cnaPANCAN108,gain,TOX3
cnaPANCAN108,gain,VPS35
cnaPANCAN108,gain,ZNF423
cnaPANCAN109,gain,CAPNS2
cnaPANCAN109,gain,CES1
cnaPANCAN109,gain,CES5A
cnaPANCAN109,gain,IRX5
cnaPANCAN109,gain,IRX6
cnaPANCAN109,gain,LPCAT2
cnaPANCAN109,gain,MMP2
cnaPANCAN109,gain,SLC6A2
cnaPANCAN110,loss,FAM195A
cnaPANCAN110,loss,RHOT2
cnaPANCAN110,loss,WDR90
cnaPANCAN111,loss,ABCA3
cnaPANCAN112,loss,C16orf90
cnaPANCAN112,loss,CLUAP1
cnaPANCAN112,loss,CREBBP
cnaPANCAN112,loss,DNASE1
cnaPANCAN112,loss,MTRNR2L4
cnaPANCAN112,loss,NAA60
cnaPANCAN112,loss,NAA60
cnaPANCAN112,loss,OR2C1
cnaPANCAN112,loss,SLX4
cnaPANCAN112,loss,TRAP1
cnaPANCAN112,loss,ZNF174
cnaPANCAN112,loss,ZNF597
cnaPANCAN112,loss,ZNF75A
cnaPANCAN112,loss,ZSCAN32
cnaPANCAN113,loss,RBFOX1
cnaPANCAN114,loss,CIITA
cnaPANCAN115,loss,SNX29
cnaPANCAN116,loss,LONP2
cnaPANCAN117,loss,ADCY7
cnaPANCAN117,loss,AKTIP
cnaPANCAN117,loss,AMFR
cnaPANCAN117,loss,ARL2BP
cnaPANCAN117,loss,BBS2
cnaPANCAN117,loss,BRD7
cnaPANCAN117,loss,C16orf78
cnaPANCAN117,loss,C16orf80
cnaPANCAN117,loss,C16orf97
cnaPANCAN117,loss,CAPNS2
cnaPANCAN117,loss,CBLN1
cnaPANCAN117,loss,CCDC102A
cnaPANCAN117,loss,CCDC113
cnaPANCAN117,loss,CCDC135
cnaPANCAN117,loss,CCL17
cnaPANCAN117,loss,CCL22
cnaPANCAN117,loss,CDH8
cnaPANCAN117,loss,CES1
cnaPANCAN117,loss,CES5A
cnaPANCAN117,loss,CETP
cnaPANCAN117,loss,CHD9
cnaPANCAN117,loss,CIAPIN1
cnaPANCAN117,loss,CNEP1R1
cnaPANCAN117,loss,CNGB1
cnaPANCAN117,loss,CNOT1
cnaPANCAN117,loss,COQ9
cnaPANCAN117,loss,CPNE2
cnaPANCAN117,loss,CSNK2A2
cnaPANCAN117,loss,CTD-2600O9.1
cnaPANCAN117,loss,CX3CL1
cnaPANCAN117,loss,CYLD
cnaPANCAN117,loss,DOK4
cnaPANCAN117,loss,FAM192A
cnaPANCAN117,loss,FTO
cnaPANCAN117,loss,GINS3
cnaPANCAN117,loss,GNAO1
cnaPANCAN117,loss,GOT2
cnaPANCAN117,loss,GPR114
cnaPANCAN117,loss,GPR56
cnaPANCAN117,loss,GPR97
cnaPANCAN117,loss,HEATR3
cnaPANCAN117,loss,HERPUD1
cnaPANCAN117,loss,IRX3
cnaPANCAN117,loss,IRX5
cnaPANCAN117,loss,IRX6
cnaPANCAN117,loss,KATNB1
cnaPANCAN117,loss,KIFC3
cnaPANCAN117,loss,LPCAT2
cnaPANCAN117,loss,MMP15
cnaPANCAN117,loss,MMP2
cnaPANCAN117,loss,MT1A
cnaPANCAN117,loss,MT1B
cnaPANCAN117,loss,MT1E
cnaPANCAN117,loss,MT1F
cnaPANCAN117,loss,MT1G
cnaPANCAN117,loss,MT1H
cnaPANCAN117,loss,MT1M
cnaPANCAN117,loss,MT1X
cnaPANCAN117,loss,MT2A
cnaPANCAN117,loss,MT3
cnaPANCAN117,loss,MT4
cnaPANCAN117,loss,N4BP1
cnaPANCAN117,loss,NDRG4
cnaPANCAN117,loss,NKD1
cnaPANCAN117,loss,NLRC5
cnaPANCAN117,loss,NOD2
cnaPANCAN117,loss,NUDT21
cnaPANCAN117,loss,NUP93
cnaPANCAN117,loss,OGFOD1
cnaPANCAN117,loss,PAPD5
cnaPANCAN117,loss,PLLP
cnaPANCAN117,loss,POLR2C
cnaPANCAN117,loss,PRSS54
cnaPANCAN117,loss,RBL2
cnaPANCAN117,loss,RP11-105C20.2
cnaPANCAN117,loss,RP11-324D17.1
cnaPANCAN117,loss,RPGRIP1L
cnaPANCAN117,loss,RSPRY1
cnaPANCAN117,loss,SALL1
cnaPANCAN117,loss,SETD6
cnaPANCAN117,loss,SLC12A3
cnaPANCAN117,loss,SLC38A7
cnaPANCAN117,loss,SLC6A2
cnaPANCAN117,loss,SNX20
cnaPANCAN117,loss,TEPP
cnaPANCAN117,loss,TOX3
cnaPANCAN117,loss,USB1
cnaPANCAN117,loss,ZNF319
cnaPANCAN117,loss,ZNF423
cnaPANCAN118,loss,AC010547.9
cnaPANCAN118,loss,AP1G1
cnaPANCAN118,loss,ATXN1L
cnaPANCAN118,loss,C16orf47
cnaPANCAN118,loss,CALB2
cnaPANCAN118,loss,CHST4
cnaPANCAN118,loss,CMTR2
cnaPANCAN118,loss,DHODH
cnaPANCAN118,loss,DHX38
cnaPANCAN118,loss,HP
cnaPANCAN118,loss,HPR
cnaPANCAN118,loss,HYDIN
cnaPANCAN118,loss,IST1
cnaPANCAN118,loss,MARVELD3
cnaPANCAN118,loss,PHLPP2
cnaPANCAN118,loss,PMFBP1
cnaPANCAN118,loss,TAT
cnaPANCAN118,loss,TXNL4B
cnaPANCAN118,loss,ZFHX3
cnaPANCAN118,loss,ZNF19
cnaPANCAN118,loss,ZNF23
cnaPANCAN118,loss,ZNF821
cnaPANCAN119,loss,WDR59
cnaPANCAN120,loss,ACSF3
cnaPANCAN120,loss,ADAD2
cnaPANCAN120,loss,ADAMTS18
cnaPANCAN120,loss,ANKRD11
cnaPANCAN120,loss,APRT
cnaPANCAN120,loss,ATMIN
cnaPANCAN120,loss,ATP2C2
cnaPANCAN120,loss,BANP
cnaPANCAN120,loss,BCMO1
cnaPANCAN120,loss,C16orf46
cnaPANCAN120,loss,C16orf74
cnaPANCAN120,loss,C16orf95
cnaPANCAN120,loss,CA5A
cnaPANCAN120,loss,CBFA2T3
cnaPANCAN120,loss,CDH13
cnaPANCAN120,loss,CDH15
cnaPANCAN120,loss,CDT1
cnaPANCAN120,loss,CDYL2
cnaPANCAN120,loss,CENPN
cnaPANCAN120,loss,CLEC3A
cnaPANCAN120,loss,CMC2
cnaPANCAN120,loss,CMIP
cnaPANCAN120,loss,COTL1
cnaPANCAN120,loss,COX4I1
cnaPANCAN120,loss,CRISPLD2
cnaPANCAN120,loss,CTC-786C10.1
cnaPANCAN120,loss,CTU2
cnaPANCAN120,loss,CYBA
cnaPANCAN120,loss,DNAAF1
cnaPANCAN120,loss,DYNLRB2
cnaPANCAN120,loss,EMC8
cnaPANCAN120,loss,FBXO31
cnaPANCAN120,loss,FOXC2
cnaPANCAN120,loss,FOXF1
cnaPANCAN120,loss,FOXL1
cnaPANCAN120,loss,GALNS
cnaPANCAN120,loss,GAN
cnaPANCAN120,loss,GCSH
cnaPANCAN120,loss,GINS2
cnaPANCAN120,loss,GSE1
cnaPANCAN120,loss,HSBP1
cnaPANCAN120,loss,HSD17B2
cnaPANCAN120,loss,HSDL1
cnaPANCAN120,loss,IL17C
cnaPANCAN120,loss,IRF8
cnaPANCAN120,loss,JPH3
cnaPANCAN120,loss,KCNG4
cnaPANCAN120,loss,KIAA0513
cnaPANCAN120,loss,KLHDC4
cnaPANCAN120,loss,KLHL36
cnaPANCAN120,loss,MAF
cnaPANCAN120,loss,MAP1LC3B
cnaPANCAN120,loss,MBTPS1
cnaPANCAN120,loss,MLYCD
cnaPANCAN120,loss,MON1B
cnaPANCAN120,loss,MPHOSPH6
cnaPANCAN120,loss,MTHFSD
cnaPANCAN120,loss,MVD
cnaPANCAN120,loss,NECAB2
cnaPANCAN120,loss,NUDT7
cnaPANCAN120,loss,OSGIN1
cnaPANCAN120,loss,PABPN1L
cnaPANCAN120,loss,PIEZO1
cnaPANCAN120,loss,PLCG2
cnaPANCAN120,loss,RNF166
cnaPANCAN120,loss,RP11-178L8.4
cnaPANCAN120,loss,RP11-505K9.4
cnaPANCAN120,loss,RP11-680G10.1
cnaPANCAN120,loss,RP11-830F9.6
cnaPANCAN120,loss,SDR42E1
cnaPANCAN120,loss,SLC22A31
cnaPANCAN120,loss,SLC38A8
cnaPANCAN120,loss,SLC7A5
cnaPANCAN120,loss,SNAI3
cnaPANCAN120,loss,SYCE1L
cnaPANCAN120,loss,TAF1C
cnaPANCAN120,loss,TLDC1
cnaPANCAN120,loss,TRAPPC2L
cnaPANCAN120,loss,USP10
cnaPANCAN120,loss,VAT1L
cnaPANCAN120,loss,WFDC1
cnaPANCAN120,loss,WWOX
cnaPANCAN120,loss,ZC3H18
cnaPANCAN120,loss,ZCCHC14
cnaPANCAN120,loss,ZDHHC7
cnaPANCAN120,loss,ZFPM1
cnaPANCAN120,loss,ZNF469
cnaPANCAN120,loss,ZNF778
cnaPANCAN121,gain,AC074389.6
cnaPANCAN121,gain,AC091801.1
cnaPANCAN121,gain,AC110781.3
cnaPANCAN121,gain,ACTB
cnaPANCAN121,gain,ADAP1
cnaPANCAN121,gain,AGMO
cnaPANCAN121,gain,AIMP2
cnaPANCAN121,gain,AMZ1
cnaPANCAN121,gain,ANKRD61
cnaPANCAN121,gain,AP5Z1
cnaPANCAN121,gain,ARL4A
cnaPANCAN121,gain,BRAT1
cnaPANCAN121,gain,C1GALT1
cnaPANCAN121,gain,C7orf26
cnaPANCAN121,gain,C7orf50
cnaPANCAN121,gain,CARD11
cnaPANCAN121,gain,CCZ1
cnaPANCAN121,gain,CCZ1B
cnaPANCAN121,gain,CHST12
cnaPANCAN121,gain,COL28A1
cnaPANCAN121,gain,COX19
cnaPANCAN121,gain,CYP2W1
cnaPANCAN121,gain,CYTH3
cnaPANCAN121,gain,DAGLB
cnaPANCAN121,gain,DGKB
cnaPANCAN121,gain,EIF2AK1
cnaPANCAN121,gain,EIF3B
cnaPANCAN121,gain,ELFN1
cnaPANCAN121,gain,ETV1
cnaPANCAN121,gain,FAM220A
cnaPANCAN121,gain,FBXL18
cnaPANCAN121,gain,FOXK1
cnaPANCAN121,gain,FSCN1
cnaPANCAN121,gain,FTSJ2
cnaPANCAN121,gain,GET4
cnaPANCAN121,gain,GLCCI1
cnaPANCAN121,gain,GNA12
cnaPANCAN121,gain,GPER1
cnaPANCAN121,gain,GPR146
cnaPANCAN121,gain,GRID2IP
cnaPANCAN121,gain,HEATR2
cnaPANCAN121,gain,ICA1
cnaPANCAN121,gain,INTS1
cnaPANCAN121,gain,IQCE
cnaPANCAN121,gain,KDELR2
cnaPANCAN121,gain,LFNG
cnaPANCAN121,gain,MAD1L1
cnaPANCAN121,gain,MAFK
cnaPANCAN121,gain,MEOX2
